TestCaseID,Type,Title,MapsTo,Priority,Tags,TestType,Preconditions,TestSteps,TestData,ExpectedResult,ActualResult,Status,AutomationRef
TC-M-01,Manual,Register login and verify profile,AC1,P0,@Smoke,Positive,"Browser open; unique email available; UI https://practicesoftwaretesting.com/","1. Open Toolshop home page
2. Navigate to Sign in then Register
3. Fill all required registration fields with valid unique data and submit
4. Sign in with the same email and password
5. Open My Account / Profile and verify displayed name and email","firstName=Avinash; lastName=Kumar; email=qa.test+{timestamp}@example.com; password=ValidPass@123; DOB and address filled","Registration succeeds; login succeeds; profile shows registered first name last name and email","Registration login and profile verified as expected",Passed,Manual only
TC-M-02,Manual,Login fails with wrong password,AC1,P1,@Regression,Negative,"Registered or known customer account exists","1. Open Sign in page
2. Enter a valid registered email
3. Enter an incorrect password
4. Submit login","email=customer@practicesoftwaretesting.com; password=DefinitelyWrong!NotValid99","Login is rejected; user remains unauthenticated; clear error message is shown; no access to protected account pages","Login rejected with error; no session created",Passed,Manual only
TC-M-03,Manual,COD checkout generates invoice Confirm twice,AC2,P0,@Smoke,Positive,"Logged-in customer; product catalog available","1. Browse home and open a product
2. Add product to cart
3. Open cart and proceed to checkout
4. Proceed to address step and fill billing address
5. Proceed to payment and select Cash on Delivery
6. Press Confirm once then Confirm again (required to generate invoice)
7. Open My Invoices and verify the new invoice","payment_method=cash-on-delivery; billing_street/city/state/country/postal_code valid; Confirm x2","Order completes; invoice is generated after second Confirm; invoice appears under My Invoices","Invoice generated after Confirm x2 and visible under My Invoices",Passed,Manual only
TC-M-04,Manual,Multi-item cart with quantity update,AC2,P1,@Regression,Positive,"Logged-in customer; at least two products available","1. Add first product to cart
2. Return to home and add a second product to cart
3. Open cart and increase quantity of one line item
4. Verify cart line count and updated quantity before checkout","Two distinct products; quantity updated to 2 on one line","Cart shows multiple items; quantity reflects the update; totals recalculate accordingly","Multi-item cart and quantity update verified",Passed,Manual only
TC-M-05,Manual,Register rejects invalid email format,AC1,P1,@Regression,Negative,"Registration page accessible","1. Open Register page
2. Fill required fields using an invalid email format
3. Attempt to submit registration","email=not-an-email; other fields valid","Registration is blocked or shows validation error; account is not created","Invalid email rejected with validation feedback",Passed,Manual only
TC-M-06,Manual,Checkout blocks empty required billing fields,AC2,P1,@Regression,Negative,"Logged-in user with item in cart; on checkout address step","1. Add a product and proceed to checkout address step
2. Leave required billing fields empty (street city postal code)
3. Attempt to proceed to payment","Required billing fields blank","User cannot proceed; validation messages shown for required fields","Proceed blocked until required address fields are filled",Passed,Manual only
TC-UI-01,UI Automation,Register login and verify profile,AC1,P0,@Smoke,Positive,"Playwright UI project configured; test-data/user.json present","1. Open home and navigate to registration
2. Register with unique timestamped email and valid user details
3. Login with the same credentials
4. Open My Profile from nav menu
5. Assert profile shows registered first name, last name, and email","email=qa.test+{timestamp}@example.com; password from user.json; firstName/lastName from user.json","User is registered and logged in; profile displays registered first name, last name, and email","Automation passed — register, login, and profile details verified",Passed,tests/ui/homePageTest/homePage.spec.js
TC-UI-02,UI Automation,Browse add to cart COD checkout verify payment success,AC2,P0,@Regression,Positive,"Playwright UI project; billing.json and user.json available","1. Register and login with unique email
2. Open second product from home and add to cart (toast verified)
3. Open cart and proceed to checkout
4. Fill billing address and proceed to payment
5. Select cash-on-delivery and press Confirm once
6. Assert payment success message is shown","payment_method=cash-on-delivery; billing from billing.json","COD payment completes; Payment was successful message shown after Confirm","Automation passed — payment success message verified",Passed,tests/ui/homePageTest/addToCartAndPayment.spec.js
TC-UI-03,UI Automation,Price range filter validates product prices,AC2,P1,@Regression,Positive,"Home page product grid and price slider available","1. Open home and verify loaded
2. Set price range 1–100 and assert all visible prices <= 100
3. Reload home and set price range 100–200
4. Assert all visible prices >= 100","min/max slider ranges 1-100 and 100-200","Visible product prices respect the selected range bounds","Automation passed — price filter assertions held",Passed,tests/ui/homePageTest/homePage.spec.js
TC-UI-04,UI Automation,Search hammer shows matching products,AC2,P1,@Smoke,Positive,"Home page search control available","1. Open home and verify loaded
2. Search for hammer
3. Assert visible product names contain hammer","searchQuery=hammer","Search results show products whose names contain hammer","Automation passed — hammer search results correct",Passed,tests/ui/homePageTest/homePage.spec.js
